order,slot_id,name,variant_count,mission_ids,level,score,primary_service,family,red,yellow,green
238,235,Museum Fire,1,235,4,35.91,fire,fire,assets/icons/red/0238--235--museum-fire.png,assets/icons/yellow/0238--235--museum-fire.png,assets/icons/green/0238--235--museum-fire.png
239,236,Burning freight car,2,236 236/a,3,13.27,fire,fire,assets/icons/red/0239--236--burning-freight-car.png,assets/icons/yellow/0239--236--burning-freight-car.png,assets/icons/green/0239--236--burning-freight-car.png
240,237,Speed Detection,1,237,2,4.48,police,police,assets/icons/red/0240--237--speed-detection.png,assets/icons/yellow/0240--237--speed-detection.png,assets/icons/green/0240--237--speed-detection.png
241,238,Restaurant fire,1,238,4,41.1,fire,fire,assets/icons/red/0241--238--restaurant-fire.png,assets/icons/yellow/0241--238--restaurant-fire.png,assets/icons/green/0241--238--restaurant-fire.png
242,239,Stop and Search,1,239,1,1.96,police,rescue,assets/icons/red/0242--239--stop-and-search.png,assets/icons/yellow/0242--239--stop-and-search.png,assets/icons/green/0242--239--stop-and-search.png
243,240,Fire in shopping centre,2,240 240/a,4,44.81,fire,fire,assets/icons/red/0243--240--fire-in-shopping-centre.png,assets/icons/yellow/0243--240--fire-in-shopping-centre.png,assets/icons/green/0243--240--fire-in-shopping-centre.png
244,241,HGV carrying hazardous load on fire,2,241 241/a,4,48.59,fire,hazmat,assets/icons/red/0244--241--hgv-carrying-hazardous-load-on-fire.png,assets/icons/yellow/0244--241--hgv-carrying-hazardous-load-on-fire.png,assets/icons/green/0244--241--hgv-carrying-hazardous-load-on-fire.png
245,242,Nuclear Power Station Incident (Major Incident),4,242 242-0 242-1 242-2,5,118.6,fire,hazmat,assets/icons/red/0245--242--nuclear-power-station-incident-major-incident.png,assets/icons/yellow/0245--242--nuclear-power-station-incident-major-incident.png,assets/icons/green/0245--242--nuclear-power-station-incident-major-incident.png
246,243,Large Forest Fire,2,243 243/a,4,30.65,fire,fire,assets/icons/red/0246--243--large-forest-fire.png,assets/icons/yellow/0246--243--large-forest-fire.png,assets/icons/green/0246--243--large-forest-fire.png
247,244,Stack of tyres on fire,2,244 244/a,4,46.11,fire,fire,assets/icons/red/0247--244--stack-of-tyres-on-fire.png,assets/icons/yellow/0247--244--stack-of-tyres-on-fire.png,assets/icons/green/0247--244--stack-of-tyres-on-fire.png
248,245,Stack of tyres on fire,0,,2,0.0,mixed,fire,assets/icons/red/0248--245--stack-of-tyres-on-fire.png,assets/icons/yellow/0248--245--stack-of-tyres-on-fire.png,assets/icons/green/0248--245--stack-of-tyres-on-fire.png
249,246,Stack of tyres on fire,0,,3,0.0,mixed,fire,assets/icons/red/0249--246--stack-of-tyres-on-fire.png,assets/icons/yellow/0249--246--stack-of-tyres-on-fire.png,assets/icons/green/0249--246--stack-of-tyres-on-fire.png
250,247,Stack of tyres on fire,0,,3,0.0,mixed,fire,assets/icons/red/0250--247--stack-of-tyres-on-fire.png,assets/icons/yellow/0250--247--stack-of-tyres-on-fire.png,assets/icons/green/0250--247--stack-of-tyres-on-fire.png
251,248,Burning manure pile,1,248,2,5.8,fire,fire,assets/icons/red/0251--248--burning-manure-pile.png,assets/icons/yellow/0251--248--burning-manure-pile.png,assets/icons/green/0251--248--burning-manure-pile.png
252,249,Large Hay bale stack on fire,1,249,2,9.13,fire,fire,assets/icons/red/0252--249--large-hay-bale-stack-on-fire.png,assets/icons/yellow/0252--249--large-hay-bale-stack-on-fire.png,assets/icons/green/0252--249--large-hay-bale-stack-on-fire.png
253,250,Harvester on fire in field,1,250,2,5.41,fire,fire,assets/icons/red/0253--250--harvester-on-fire-in-field.png,assets/icons/yellow/0253--250--harvester-on-fire-in-field.png,assets/icons/green/0253--250--harvester-on-fire-in-field.png
254,251,Fire in munitions dump,2,251 251/a,3,19.95,fire,eod,assets/icons/red/0254--251--fire-in-munitions-dump.png,assets/icons/yellow/0254--251--fire-in-munitions-dump.png,assets/icons/green/0254--251--fire-in-munitions-dump.png
255,252,Suspicious Person,1,252,1,1.96,police,police,assets/icons/red/0255--252--suspicious-person.png,assets/icons/yellow/0255--252--suspicious-person.png,assets/icons/green/0255--252--suspicious-person.png
256,253,Electrocution,1,253,2,5.01,ambulance,medical,assets/icons/red/0256--253--electrocution.png,assets/icons/yellow/0256--253--electrocution.png,assets/icons/green/0256--253--electrocution.png
257,254,Street market patrol,1,254,1,4.04,police,police,assets/icons/red/0257--254--street-market-patrol.png,assets/icons/yellow/0257--254--street-market-patrol.png,assets/icons/green/0257--254--street-market-patrol.png
258,255,Bus on fire,1,255,3,17.35,fire,fire,assets/icons/red/0258--255--bus-on-fire.png,assets/icons/yellow/0258--255--bus-on-fire.png,assets/icons/green/0258--255--bus-on-fire.png
259,256,Heathland fire - medium,1,256,3,19.65,fire,fire,assets/icons/red/0259--256--heathland-fire-medium.png,assets/icons/yellow/0259--256--heathland-fire-medium.png,assets/icons/green/0259--256--heathland-fire-medium.png
260,257,Injury through early exploding firework,1,257,2,5.34,ambulance,eod,assets/icons/red/0260--257--injury-through-early-exploding-firework.png,assets/icons/yellow/0260--257--injury-through-early-exploding-firework.png,assets/icons/green/0260--257--injury-through-early-exploding-firework.png
261,258,Injury from improper use of fireworks,1,258,2,5.7,ambulance,eod,assets/icons/red/0261--258--injury-from-improper-use-of-fireworks.png,assets/icons/yellow/0261--258--injury-from-improper-use-of-fireworks.png,assets/icons/green/0261--258--injury-from-improper-use-of-fireworks.png
262,259,Person hit by firework-explosive,1,259,2,4.98,ambulance,eod,assets/icons/red/0262--259--person-hit-by-firework-explosive.png,assets/icons/yellow/0262--259--person-hit-by-firework-explosive.png,assets/icons/green/0262--259--person-hit-by-firework-explosive.png
263,260,Seizure caused by watching firework,1,260,3,11.48,ambulance,eod,assets/icons/red/0263--260--seizure-caused-by-watching-firework.png,assets/icons/yellow/0263--260--seizure-caused-by-watching-firework.png,assets/icons/green/0263--260--seizure-caused-by-watching-firework.png
264,261,Guarding inner-city New Year's Eve party,1,261,3,13.0,police,crowd,assets/icons/red/0264--261--guarding-inner-city-new-year-s-eve-party.png,assets/icons/yellow/0264--261--guarding-inner-city-new-year-s-eve-party.png,assets/icons/green/0264--261--guarding-inner-city-new-year-s-eve-party.png
265,262,Usage of illegal firework,1,262,3,10.76,police,eod,assets/icons/red/0265--262--usage-of-illegal-firework.png,assets/icons/yellow/0265--262--usage-of-illegal-firework.png,assets/icons/green/0265--262--usage-of-illegal-firework.png
266,263,Usage of fireworks near road,1,263,1,1.96,police,eod,assets/icons/red/0266--263--usage-of-fireworks-near-road.png,assets/icons/yellow/0266--263--usage-of-fireworks-near-road.png,assets/icons/green/0266--263--usage-of-fireworks-near-road.png
267,264,Car crash caused by firework-usage near road,1,264,3,15.69,police,eod,assets/icons/red/0267--264--car-crash-caused-by-firework-usage-near-road.png,assets/icons/yellow/0267--264--car-crash-caused-by-firework-usage-near-road.png,assets/icons/green/0267--264--car-crash-caused-by-firework-usage-near-road.png
268,265,Sabotaged firework,1,265,2,6.48,police,eod,assets/icons/red/0268--265--sabotaged-firework.png,assets/icons/yellow/0268--265--sabotaged-firework.png,assets/icons/green/0268--265--sabotaged-firework.png
269,266,Motorcross Accident,2,266 266/a,3,13.27,ambulance,medical,assets/icons/red/0269--266--motorcross-accident.png,assets/icons/yellow/0269--266--motorcross-accident.png,assets/icons/green/0269--266--motorcross-accident.png
270,267,Flooding on carriageway,1,267,2,7.3,police,weather,assets/icons/red/0270--267--flooding-on-carriageway.png,assets/icons/yellow/0270--267--flooding-on-carriageway.png,assets/icons/green/0270--267--flooding-on-carriageway.png
271,268,HGV Rollover Down Embankment,2,268 268/a,4,21.45,fire,collision,assets/icons/red/0271--268--hgv-rollover-down-embankment.png,assets/icons/yellow/0271--268--hgv-rollover-down-embankment.png,assets/icons/green/0271--268--hgv-rollover-down-embankment.png
272,269,Illegal internet activity,1,269,1,2.24,police,police,assets/icons/red/0272--269--illegal-internet-activity.png,assets/icons/yellow/0272--269--illegal-internet-activity.png,assets/icons/green/0272--269--illegal-internet-activity.png
273,270,Fire in petrol station shop (small),1,270,1,4.12,fire,fire,assets/icons/red/0273--270--fire-in-petrol-station-shop-small.png,assets/icons/yellow/0273--270--fire-in-petrol-station-shop-small.png,assets/icons/green/0273--270--fire-in-petrol-station-shop-small.png
274,271,Fire in petrol station shop (Medium),1,271,2,9.08,fire,fire,assets/icons/red/0274--271--fire-in-petrol-station-shop-medium.png,assets/icons/yellow/0274--271--fire-in-petrol-station-shop-medium.png,assets/icons/green/0274--271--fire-in-petrol-station-shop-medium.png
275,272,Fire in petrol station (large),4,272 272/a 272/b 272/ab,4,32.06,fire,fire,assets/icons/red/0275--272--fire-in-petrol-station-large.png,assets/icons/yellow/0275--272--fire-in-petrol-station-large.png,assets/icons/green/0275--272--fire-in-petrol-station-large.png
276,273,Large fuel spill in petrol station forecourt,1,273,2,9.08,fire,hazmat,assets/icons/red/0276--273--large-fuel-spill-in-petrol-station-forecourt.png,assets/icons/yellow/0276--273--large-fuel-spill-in-petrol-station-forecourt.png,assets/icons/green/0276--273--large-fuel-spill-in-petrol-station-forecourt.png
277,274,Fire Alarm Activation in Sheltered Housing,1,274,1,3.76,fire,fire,assets/icons/red/0277--274--fire-alarm-activation-in-sheltered-housing.png,assets/icons/yellow/0277--274--fire-alarm-activation-in-sheltered-housing.png,assets/icons/green/0277--274--fire-alarm-activation-in-sheltered-housing.png
278,275,Flat Fire in Sheltered Housing,1,275,2,7.43,fire,fire,assets/icons/red/0278--275--flat-fire-in-sheltered-housing.png,assets/icons/yellow/0278--275--flat-fire-in-sheltered-housing.png,assets/icons/green/0278--275--flat-fire-in-sheltered-housing.png
279,276,Flat Fire in Sheltered Housing (Persons Reported),1,276,3,19.96,fire,fire,assets/icons/red/0279--276--flat-fire-in-sheltered-housing-persons-reported.png,assets/icons/yellow/0279--276--flat-fire-in-sheltered-housing-persons-reported.png,assets/icons/green/0279--276--flat-fire-in-sheltered-housing-persons-reported.png
280,277,Couple ate too much chocolate,1,277,2,5.26,ambulance,medical,assets/icons/red/0280--277--couple-ate-too-much-chocolate.png,assets/icons/yellow/0280--277--couple-ate-too-much-chocolate.png,assets/icons/green/0280--277--couple-ate-too-much-chocolate.png
281,278,Butterflies in stomach,1,278,1,2.44,ambulance,medical,assets/icons/red/0281--278--butterflies-in-stomach.png,assets/icons/yellow/0281--278--butterflies-in-stomach.png,assets/icons/green/0281--278--butterflies-in-stomach.png
282,279,Heart attack due shock from proposing,1,279,3,11.61,ambulance,cardiac,assets/icons/red/0282--279--heart-attack-due-shock-from-proposing.png,assets/icons/yellow/0282--279--heart-attack-due-shock-from-proposing.png,assets/icons/green/0282--279--heart-attack-due-shock-from-proposing.png
283,280,Broken heart,1,280,3,12.04,ambulance,cardiac,assets/icons/red/0283--280--broken-heart.png,assets/icons/yellow/0283--280--broken-heart.png,assets/icons/green/0283--280--broken-heart.png
284,281,Valentines decorations at restaurant caught fire,1,281,3,20.05,fire,fire,assets/icons/red/0284--281--valentines-decorations-at-restaurant-caught-fire.png,assets/icons/yellow/0284--281--valentines-decorations-at-restaurant-caught-fire.png,assets/icons/green/0284--281--valentines-decorations-at-restaurant-caught-fire.png
285,282,Fire from candle light dinner has spread,1,282,3,10.05,fire,fire,assets/icons/red/0285--282--fire-from-candle-light-dinner-has-spread.png,assets/icons/yellow/0285--282--fire-from-candle-light-dinner-has-spread.png,assets/icons/green/0285--282--fire-from-candle-light-dinner-has-spread.png
286,283,Search for missing boyfriend,1,283,2,5.84,police,rescue,assets/icons/red/0286--283--search-for-missing-boyfriend.png,assets/icons/yellow/0286--283--search-for-missing-boyfriend.png,assets/icons/green/0286--283--search-for-missing-boyfriend.png
287,284,Noise complaint over a fighting couple,1,284,1,2.47,police,crowd,assets/icons/red/0287--284--noise-complaint-over-a-fighting-couple.png,assets/icons/yellow/0287--284--noise-complaint-over-a-fighting-couple.png,assets/icons/green/0287--284--noise-complaint-over-a-fighting-couple.png
288,285,Heart stolen,1,285,1,3.84,police,cardiac,assets/icons/red/0288--285--heart-stolen.png,assets/icons/yellow/0288--285--heart-stolen.png,assets/icons/green/0288--285--heart-stolen.png
289,286,Swan in carriageway,1,286,1,3.57,police,animal,assets/icons/red/0289--286--swan-in-carriageway.png,assets/icons/yellow/0289--286--swan-in-carriageway.png,assets/icons/green/0289--286--swan-in-carriageway.png
290,287,Train station fire (Small),1,287,1,3.76,fire,rail,assets/icons/red/0290--287--train-station-fire-small.png,assets/icons/yellow/0290--287--train-station-fire-small.png,assets/icons/green/0290--287--train-station-fire-small.png
291,288,Train station fire (Medium),2,288 288/a,2,9.66,fire,rail,assets/icons/red/0291--288--train-station-fire-medium.png,assets/icons/yellow/0291--288--train-station-fire-medium.png,assets/icons/green/0291--288--train-station-fire-medium.png
292,289,Train station fire (Small),0,,2,0.0,mixed,rail,assets/icons/red/0292--289--train-station-fire-small.png,assets/icons/yellow/0292--289--train-station-fire-small.png,assets/icons/green/0292--289--train-station-fire-small.png
293,290,Train station fire (Medium),0,,3,0.0,mixed,rail,assets/icons/red/0293--290--train-station-fire-medium.png,assets/icons/yellow/0293--290--train-station-fire-medium.png,assets/icons/green/0293--290--train-station-fire-medium.png
294,291,Person under train,2,291 291/a,4,46.1,fire,rail,assets/icons/red/0294--291--person-under-train.png,assets/icons/yellow/0294--291--person-under-train.png,assets/icons/green/0294--291--person-under-train.png
295,292,Person under train,0,,4,0.0,mixed,rail,assets/icons/red/0295--292--person-under-train.png,assets/icons/yellow/0295--292--person-under-train.png,assets/icons/green/0295--292--person-under-train.png
296,293,Person under train,0,,4,0.0,mixed,rail,assets/icons/red/0296--293--person-under-train.png,assets/icons/yellow/0296--293--person-under-train.png,assets/icons/green/0296--293--person-under-train.png
297,294,Train station fire (Large),2,294 294/a,4,41.99,fire,rail,assets/icons/red/0297--294--train-station-fire-large.png,assets/icons/yellow/0297--294--train-station-fire-large.png,assets/icons/green/0297--294--train-station-fire-large.png
298,295,Train station fire (Major),16,295 295/a 295/b 295/c 295/d 295/ab 295/ac 295/ad 295/bc 295/bd 295/cd 295/abc 295/abd 295/acd 295/bcd 295/abcd,5,96.5,fire,rail,assets/icons/red/0298--295--train-station-fire-major.png,assets/icons/yellow/0298--295--train-station-fire-major.png,assets/icons/green/0298--295--train-station-fire-major.png
299,296,Train station fire (Large),0,,4,2.0,mixed,rail,assets/icons/red/0299--296--train-station-fire-large.png,assets/icons/yellow/0299--296--train-station-fire-large.png,assets/icons/green/0299--296--train-station-fire-large.png
300,297,Train station fire (Major),0,,5,5.0,mixed,rail,assets/icons/red/0300--297--train-station-fire-major.png,assets/icons/yellow/0300--297--train-station-fire-major.png,assets/icons/green/0300--297--train-station-fire-major.png
301,298,University halls fire (Major),2,298 298/a,5,85.05,fire,fire,assets/icons/red/0301--298--university-halls-fire-major.png,assets/icons/yellow/0301--298--university-halls-fire-major.png,assets/icons/green/0301--298--university-halls-fire-major.png
302,299,Illegal house party,1,299,3,17.01,police,crowd,assets/icons/red/0302--299--illegal-house-party.png,assets/icons/yellow/0302--299--illegal-house-party.png,assets/icons/green/0302--299--illegal-house-party.png
303,300,Large Aircraft Crash Off Airport,16,300 300/a 300/b 300/ab 300-0 300-0/a 300-0/b 300-0/ab 300-1 300-1/a 300-1/b 300-1/ab 300-2 300-2/a 300-2/b 300-2/ab,5,138.75,fire,aircraft,assets/icons/red/0303--300--large-aircraft-crash-off-airport.png,assets/icons/yellow/0303--300--large-aircraft-crash-off-airport.png,assets/icons/green/0303--300--large-aircraft-crash-off-airport.png
304,301,Unsafe Structure,1,301,2,4.41,fire,fire,assets/icons/red/0304--301--unsafe-structure.png,assets/icons/yellow/0304--301--unsafe-structure.png,assets/icons/green/0304--301--unsafe-structure.png
305,302,Leprechaun causing public mischief,1,302,1,3.84,police,police,assets/icons/red/0305--302--leprechaun-causing-public-mischief.png,assets/icons/yellow/0305--302--leprechaun-causing-public-mischief.png,assets/icons/green/0305--302--leprechaun-causing-public-mischief.png
306,303,Driver blinded by green decorative lights,1,303,3,10.8,police,marine,assets/icons/red/0306--303--driver-blinded-by-green-decorative-lights.png,assets/icons/yellow/0306--303--driver-blinded-by-green-decorative-lights.png,assets/icons/green/0306--303--driver-blinded-by-green-decorative-lights.png
307,304,Leprechaun stuck on tree,1,304,2,4.22,fire,rescue,assets/icons/red/0307--304--leprechaun-stuck-on-tree.png,assets/icons/yellow/0307--304--leprechaun-stuck-on-tree.png,assets/icons/green/0307--304--leprechaun-stuck-on-tree.png
308,305,Protecting shamrock fields from St. Patricks Day enthusiasts,1,305,3,12.09,police,police,assets/icons/red/0308--305--protecting-shamrock-fields-from-st-patricks-day-enthusiasts.png,assets/icons/yellow/0308--305--protecting-shamrock-fields-from-st-patricks-day-enthusiasts.png,assets/icons/green/0308--305--protecting-shamrock-fields-from-st-patricks-day-enthusiasts.png
309,306,Great St. Patricks Day parade,1,306,4,46.1,police,police,assets/icons/red/0309--306--great-st-patricks-day-parade.png,assets/icons/yellow/0309--306--great-st-patricks-day-parade.png,assets/icons/green/0309--306--great-st-patricks-day-parade.png
310,307,Skin is turning green,1,307,1,3.58,ambulance,medical,assets/icons/red/0310--307--skin-is-turning-green.png,assets/icons/yellow/0310--307--skin-is-turning-green.png,assets/icons/green/0310--307--skin-is-turning-green.png
311,308,Fallen person,2,308 308/a,2,7.17,ambulance,medical,assets/icons/red/0311--308--fallen-person.png,assets/icons/yellow/0311--308--fallen-person.png,assets/icons/green/0311--308--fallen-person.png
312,309,Spinal injury,2,309 309/a,2,7.25,ambulance,medical,assets/icons/red/0312--309--spinal-injury.png,assets/icons/yellow/0312--309--spinal-injury.png,assets/icons/green/0312--309--spinal-injury.png
313,310,Serious head injury,2,310 310/a,2,9.35,ambulance,medical,assets/icons/red/0313--310--serious-head-injury.png,assets/icons/yellow/0313--310--serious-head-injury.png,assets/icons/green/0313--310--serious-head-injury.png
314,311,Traumatic limb amputation,2,311 311/a,2,7.35,ambulance,medical,assets/icons/red/0314--311--traumatic-limb-amputation.png,assets/icons/yellow/0314--311--traumatic-limb-amputation.png,assets/icons/green/0314--311--traumatic-limb-amputation.png
315,312,Sepsis,1,312,2,4.98,ambulance,medical,assets/icons/red/0315--312--sepsis.png,assets/icons/yellow/0315--312--sepsis.png,assets/icons/green/0315--312--sepsis.png
316,313,Natural gas leak,1,313,1,3.57,fire,hazmat,assets/icons/red/0316--313--natural-gas-leak.png,assets/icons/yellow/0316--313--natural-gas-leak.png,assets/icons/green/0316--313--natural-gas-leak.png
317,314,Rescue from stuck ride,1,314,3,12.09,fire,rescue,assets/icons/red/0317--314--rescue-from-stuck-ride.png,assets/icons/yellow/0317--314--rescue-from-stuck-ride.png,assets/icons/green/0317--314--rescue-from-stuck-ride.png
318,315,Collision on ride,1,315,4,33.46,fire,collision,assets/icons/red/0318--315--collision-on-ride.png,assets/icons/yellow/0318--315--collision-on-ride.png,assets/icons/green/0318--315--collision-on-ride.png
319,316,Domestic drowning,1,316,3,11.54,ambulance,marine,assets/icons/red/0319--316--domestic-drowning.png,assets/icons/yellow/0319--316--domestic-drowning.png,assets/icons/green/0319--316--domestic-drowning.png
320,317,Burning Substation,1,317,2,5.41,fire,fire,assets/icons/red/0320--317--burning-substation.png,assets/icons/yellow/0320--317--burning-substation.png,assets/icons/green/0320--317--burning-substation.png
321,318,Reported fire in the open,1,318,1,2.24,fire,fire,assets/icons/red/0321--318--reported-fire-in-the-open.png,assets/icons/yellow/0321--318--reported-fire-in-the-open.png,assets/icons/green/0321--318--reported-fire-in-the-open.png
322,319,Fall from height,1,319,3,12.54,ambulance,medical,assets/icons/red/0322--319--fall-from-height.png,assets/icons/yellow/0322--319--fall-from-height.png,assets/icons/green/0322--319--fall-from-height.png
323,320,Person trapped in agricultural machinery,2,320 320/a,4,30.0,fire,rescue,assets/icons/red/0323--320--person-trapped-in-agricultural-machinery.png,assets/icons/yellow/0323--320--person-trapped-in-agricultural-machinery.png,assets/icons/green/0323--320--person-trapped-in-agricultural-machinery.png
324,321,Theft of a motor vehicle,1,321,2,4.76,police,crime,assets/icons/red/0324--321--theft-of-a-motor-vehicle.png,assets/icons/yellow/0324--321--theft-of-a-motor-vehicle.png,assets/icons/green/0324--321--theft-of-a-motor-vehicle.png
325,322,Dangerous goods truck accident,2,322 322/a,4,24.91,fire,fire,assets/icons/red/0325--322--dangerous-goods-truck-accident.png,assets/icons/yellow/0325--322--dangerous-goods-truck-accident.png,assets/icons/green/0325--322--dangerous-goods-truck-accident.png
326,323,Chlorine leak,2,323 323/a,4,38.49,fire,hazmat,assets/icons/red/0326--323--chlorine-leak.png,assets/icons/yellow/0326--323--chlorine-leak.png,assets/icons/green/0326--323--chlorine-leak.png
327,324,Freight Train Derailment,4,324 324/a 324/b 324/ab,5,64.76,fire,rail,assets/icons/red/0327--324--freight-train-derailment.png,assets/icons/yellow/0327--324--freight-train-derailment.png,assets/icons/green/0327--324--freight-train-derailment.png
328,325,Ammonia leak (Gas alarm system),2,325 325/a,4,46.7,fire,hazmat,assets/icons/red/0328--325--ammonia-leak-gas-alarm-system.png,assets/icons/yellow/0328--325--ammonia-leak-gas-alarm-system.png,assets/icons/green/0328--325--ammonia-leak-gas-alarm-system.png
329,326,Power station fire,8,326 326/a 326/b 326/c 326/ab 326/ac 326/bc 326/abc,5,75.42,fire,fire,assets/icons/red/0329--326--power-station-fire.png,assets/icons/yellow/0329--326--power-station-fire.png,assets/icons/green/0329--326--power-station-fire.png
330,327,Bulk hazardous storage tank leak (small),1,327,4,23.75,fire,hazmat,assets/icons/red/0330--327--bulk-hazardous-storage-tank-leak-small.png,assets/icons/yellow/0330--327--bulk-hazardous-storage-tank-leak-small.png,assets/icons/green/0330--327--bulk-hazardous-storage-tank-leak-small.png
331,328,Bulk hazardous storage tank leak (large),2,328 328/a,4,40.58,fire,hazmat,assets/icons/red/0331--328--bulk-hazardous-storage-tank-leak-large.png,assets/icons/yellow/0331--328--bulk-hazardous-storage-tank-leak-large.png,assets/icons/green/0331--328--bulk-hazardous-storage-tank-leak-large.png
332,329,Car workshop fire with explosion,4,329 329/a 329/b 329/ab,5,58.96,fire,fire,assets/icons/red/0332--329--car-workshop-fire-with-explosion.png,assets/icons/yellow/0332--329--car-workshop-fire-with-explosion.png,assets/icons/green/0332--329--car-workshop-fire-with-explosion.png
333,330,Large Natural Gas Explosion,4,330 330-0 330-1 330-2,5,61.1,fire,fire,assets/icons/red/0333--330--large-natural-gas-explosion.png,assets/icons/yellow/0333--330--large-natural-gas-explosion.png,assets/icons/green/0333--330--large-natural-gas-explosion.png
334,331,Chemistry accident at school,1,331,3,14.87,fire,fire,assets/icons/red/0334--331--chemistry-accident-at-school.png,assets/icons/yellow/0334--331--chemistry-accident-at-school.png,assets/icons/green/0334--331--chemistry-accident-at-school.png
335,332,Two vehicle RTC (No Injuries),2,332 332/a,2,5.84,police,collision,assets/icons/red/0335--332--two-vehicle-rtc-no-injuries.png,assets/icons/yellow/0335--332--two-vehicle-rtc-no-injuries.png,assets/icons/green/0335--332--two-vehicle-rtc-no-injuries.png
336,333,Child Locked in Car,1,333,2,7.06,fire,fire,assets/icons/red/0336--333--child-locked-in-car.png,assets/icons/yellow/0336--333--child-locked-in-car.png,assets/icons/green/0336--333--child-locked-in-car.png
337,334,Arcing power lines,1,334,1,2.24,fire,utilities,assets/icons/red/0337--334--arcing-power-lines.png,assets/icons/yellow/0337--334--arcing-power-lines.png,assets/icons/green/0337--334--arcing-power-lines.png
338,335,Large abandoned building on fire,2,335 335/a,5,54.54,fire,fire,assets/icons/red/0338--335--large-abandoned-building-on-fire.png,assets/icons/yellow/0338--335--large-abandoned-building-on-fire.png,assets/icons/green/0338--335--large-abandoned-building-on-fire.png
339,336,Inflate Soccer ball,1,336,1,3.61,fire,fire,assets/icons/red/0339--336--inflate-soccer-ball.png,assets/icons/yellow/0339--336--inflate-soccer-ball.png,assets/icons/green/0339--336--inflate-soccer-ball.png
340,337,Team bus parked in no stopping zone,1,337,1,1.96,police,police,assets/icons/red/0340--337--team-bus-parked-in-no-stopping-zone.png,assets/icons/yellow/0340--337--team-bus-parked-in-no-stopping-zone.png,assets/icons/green/0340--337--team-bus-parked-in-no-stopping-zone.png
341,338,Treatment after diving,1,338,1,2.4,ambulance,medical,assets/icons/red/0341--338--treatment-after-diving.png,assets/icons/yellow/0341--338--treatment-after-diving.png,assets/icons/green/0341--338--treatment-after-diving.png
342,339,Injury after hitting bar,1,339,1,2.4,ambulance,medical,assets/icons/red/0342--339--injury-after-hitting-bar.png,assets/icons/yellow/0342--339--injury-after-hitting-bar.png,assets/icons/green/0342--339--injury-after-hitting-bar.png
343,340,Goal fell down,1,340,1,3.61,fire,fire,assets/icons/red/0343--340--goal-fell-down.png,assets/icons/yellow/0343--340--goal-fell-down.png,assets/icons/green/0343--340--goal-fell-down.png
344,341,Stolen trophy,1,341,1,3.36,police,crime,assets/icons/red/0344--341--stolen-trophy.png,assets/icons/yellow/0344--341--stolen-trophy.png,assets/icons/green/0344--341--stolen-trophy.png
345,342,Frostbite from ice spray,1,342,1,2.5,ambulance,weather,assets/icons/red/0345--342--frostbite-from-ice-spray.png,assets/icons/yellow/0345--342--frostbite-from-ice-spray.png,assets/icons/green/0345--342--frostbite-from-ice-spray.png
346,343,Sore throat after celebrating,1,343,1,3.03,ambulance,medical,assets/icons/red/0346--343--sore-throat-after-celebrating.png,assets/icons/yellow/0346--343--sore-throat-after-celebrating.png,assets/icons/green/0346--343--sore-throat-after-celebrating.png
347,344,Missing captain armband,1,344,2,7.27,police,police,assets/icons/red/0347--344--missing-captain-armband.png,assets/icons/yellow/0347--344--missing-captain-armband.png,assets/icons/green/0347--344--missing-captain-armband.png
348,345,Burning corner flag,1,345,1,3.18,fire,fire,assets/icons/red/0348--345--burning-corner-flag.png,assets/icons/yellow/0348--345--burning-corner-flag.png,assets/icons/green/0348--345--burning-corner-flag.png
349,346,Safeguarding a swimming competition,1,346,2,4.72,ambulance,medical,assets/icons/red/0349--346--safeguarding-a-swimming-competition.png,assets/icons/yellow/0349--346--safeguarding-a-swimming-competition.png,assets/icons/green/0349--346--safeguarding-a-swimming-competition.png
350,347,Contaminated ice cream cart,1,347,2,7.64,ambulance,weather,assets/icons/red/0350--347--contaminated-ice-cream-cart.png,assets/icons/yellow/0350--347--contaminated-ice-cream-cart.png,assets/icons/green/0350--347--contaminated-ice-cream-cart.png
351,348,Illegal bonfire in park,1,348,2,5.76,fire,fire,assets/icons/red/0351--348--illegal-bonfire-in-park.png,assets/icons/yellow/0351--348--illegal-bonfire-in-park.png,assets/icons/green/0351--348--illegal-bonfire-in-park.png
352,349,Smoke Inhalation,1,349,2,4.94,ambulance,fire,assets/icons/red/0352--349--smoke-inhalation.png,assets/icons/yellow/0352--349--smoke-inhalation.png,assets/icons/green/0352--349--smoke-inhalation.png
353,350,Protester needing rescuing from height,2,350 350/a,4,23.43,police,crowd,assets/icons/red/0353--350--protester-needing-rescuing-from-height.png,assets/icons/yellow/0353--350--protester-needing-rescuing-from-height.png,assets/icons/green/0353--350--protester-needing-rescuing-from-height.png
354,351,Gun pulled in nightclub,1,351,3,11.3,police,police,assets/icons/red/0354--351--gun-pulled-in-nightclub.png,assets/icons/yellow/0354--351--gun-pulled-in-nightclub.png,assets/icons/green/0354--351--gun-pulled-in-nightclub.png
355,352,Small fire in nightclub,1,352,2,5.04,fire,fire,assets/icons/red/0355--352--small-fire-in-nightclub.png,assets/icons/yellow/0355--352--small-fire-in-nightclub.png,assets/icons/green/0355--352--small-fire-in-nightclub.png
